柏雷素尔 	 鸟栖沙岩	2-3
大阪飞脚 	 甲府风林	2-1
横滨水手 	 山形山神	1-1
清水心跳 	 神户胜利船	0-5
松本山雅 	 浦和红钻	1-2
新泻天鹅 	 鹿岛鹿角	2-3
鸟栖沙岩 	 川崎前锋	1-1
FC东京 	 新泻天鹅	3-1
广岛三箭 	 松本山雅	6-0
横滨水手 	 柏雷素尔	0-1
甲府风林 	 仙台维加泰	0-0
鹿岛鹿角 	 清水心跳	0-0
名古屋八鲸 	 大阪飞脚	3-2
山形山神 	 浦和红钻	0-0
神户胜利船 	 湘南海洋	1-1
松本山雅 	 鹿岛鹿角	2-0
清水心跳 	 名古屋八鲸	2-2
FC东京 	 山形山神	0-0
柏雷素尔 	 川崎前锋	1-0
大阪飞脚 	 横滨水手	2-2
浦和红钻 	 广岛三箭	1-2
仙台维加泰 	 神户胜利船	1-2
湘南海洋 	 甲府风林	0-2
新泻天鹅 	 鸟栖沙岩	1-0
甲府风林 	 松本山雅	0-1
鹿岛鹿角 	 FC东京	2-1
川崎前锋 	 清水心跳	3-2
广岛三箭 	 横滨水手	2-0
名古屋八鲸 	 浦和红钻	2-1
鸟栖沙岩 	 湘南海洋	1-1
神户胜利船 	 大阪飞脚	1-2
仙台维加泰 	 柏雷素尔	0-1
山形山神 	 新泻天鹅	1-3
FC东京 	 仙台维加泰	3-1
鸟栖沙岩 	 鹿岛鹿角	0-3
浦和红钻 	 甲府风林	1-1
山形山神 	 名古屋八鲸	0-3
神户胜利船 	 广岛三箭	0-4
松本山雅 	 川崎前锋	1-3
湘南海洋 	 柏雷素尔	3-0
新泻天鹅 	 大阪飞脚	2-2
横滨水手 	 清水心跳	1-2
大阪飞脚 	 鸟栖沙岩	1-1
柏雷素尔 	 神户胜利船	2-0
川崎前锋 	 山形山神	0-0
广岛三箭 	 鹿岛鹿角	0-1
甲府风林 	 FC东京	0-1
名古屋八鲸 	 横滨水手	0-3
清水心跳 	 湘南海洋	1-2
仙台维加泰 	 松本山雅	3-1
新泻天鹅 	 浦和红钻	1-2
FC东京 	 大阪飞脚	2-1
横滨水手 	 甲府风林	2-0
浦和红钻 	 湘南海洋	1-0
清水心跳 	 新泻天鹅	1-1
山形山神 	 鸟栖沙岩	1-3
神户胜利船 	 川崎前锋	2-0
松本山雅 	 名古屋八鲸	0-1
广岛三箭 	 柏雷素尔	0-3
鹿岛鹿角 	 仙台维加泰	3-2
柏雷素尔 	 松本山雅	2-0
甲府风林 	 神户胜利船	1-0
鹿岛鹿角 	 山形山神	3-0
浦和红钻 	 仙台维加泰	3-1
大阪飞脚 	 清水心跳	1-0
名古屋八鲸 	 FC东京	0-0
鸟栖沙岩 	 横滨水手	1-2
湘南海洋 	 川崎前锋	2-1
新泻天鹅 	 广岛三箭	0-2
清水心跳 	 FC东京	1-1
横滨水手 	 浦和红钻	4-0
川崎前锋 	 鹿岛鹿角	1-3
广岛三箭 	 名古屋八鲸	5-2
神户胜利船 	 鸟栖沙岩	7-1
仙台维加泰 	 新泻天鹅	0-1
柏雷素尔 	 甲府风林	2-2
大阪飞脚 	 湘南海洋	1-0
松本山雅 	 山形山神	2-2
浦和红钻 	 柏雷素尔	1-0
甲府风林 	 川崎前锋	1-3
鹿岛鹿角 	 大阪飞脚	1-2
名古屋八鲸 	 仙台维加泰	0-1
FC东京 	 神户胜利船	3-0
鸟栖沙岩 	 清水心跳	0-0
山形山神 	 广岛三箭	1-3
湘南海洋 	 松本山雅	1-1
新泻天鹅 	 横滨水手	1-1
甲府风林 	 鹿岛鹿角	0-1
仙台维加泰 	 湘南海洋	1-1
川崎前锋 	 名古屋八鲸	6-1
广岛三箭 	 鸟栖沙岩	0-0
横滨水手 	 FC东京	1-0
清水心跳 	 浦和红钻	1-4
神户胜利船 	 新泻天鹅	1-2
松本山雅 	 大阪飞脚	1-1
柏雷素尔 	 山形山神	0-0
山形山神 	 仙台维加泰	1-1
鹿岛鹿角 	 浦和红钻	1-2
鸟栖沙岩 	 甲府风林	0-1
清水心跳 	 广岛三箭	1-5
湘南海洋 	 横滨水手	1-1
大阪飞脚 	 柏雷素尔	3-1
FC东京 	 松本山雅	1-0
新泻天鹅 	 川崎前锋	1-2
名古屋八鲸 	 神户胜利船	2-0
仙台维加泰 	 横滨水手	1-3
神户胜利船 	 鹿岛鹿角	0-2
松本山雅 	 清水心跳	1-0
浦和红钻 	 鸟栖沙岩	1-1
湘南海洋 	 山形山神	0-1
甲府风林 	 新泻天鹅	0-0
